Year,PoolExp,PoolIn,Gap,RealGDP
2010,1939.814568,1877.4,62.414568,412119.3
2011,2381.256171,2348.01,33.246171,487940.2
2012,2900.39346,2933.175,-32.78154,538580
2013,3477.89457,3428.25,49.64457,592963.2
2014,4008.75372,3918.6,90.15372,641280.6
2015,4532.86206,4460.925,71.93706,685992.9
2016,5060.81,4899.972,160.838,740060.8
2017,5660.06,5641.58175,18.47825,820754.3
2018,6099.04231,6052.013975,47.0283345,
2019,6536.181162,6364.09514,172.0860223,
2020,6975.827974,6707.557562,268.2704114,
2021,7330.657085,6925.118235,405.5388505,
2022,7686.018,7159.410671,526.607329,
2023,8071.050786,7362.793103,708.2576823,
2024,8443.756341,7521.391579,922.3647626,
2025,8835.753056,7701.799827,1133.953229,
2026,9214.185976,7872.772865,1341.413111,
2027,9686.529874,8053.634556,1632.895318,
2028,10236.32689,8253.835598,1982.491292,
2029,10770.05501,8425.710169,2344.344845,
2030,11312.15354,8618.017249,2694.136286,
2031,11879.84288,8807.374232,3072.468649,
2032,12425.48958,9021.884634,3403.604947,
2033,13058.5655,9258.552202,3800.013295,
2034,13696.46531,9512.279779,4184.185529,
2035,14371.42314,9791.753855,4579.669283,
2036,15035.40232,10104.6549,4930.747417,
2037,15724.42012,10433.03112,5291.388995,
2038,16407.42356,10787.19586,5620.227696,
2039,17070.00622,11152.83828,5917.167937,
2040,17716.8241,11525.97591,6190.84819,
2041,18385.42809,11923.04743,6462.38066,
2042,19048.56655,12314.56054,6734.006013,
2043,19753.59039,12675.54272,7078.047673,
2044,20477.61299,13082.33402,7395.278971,
2045,21205.4803,13492.44199,7713.038313,
2046,21922.49733,13909.33013,8013.167201,
2047,22671.9516,14332.16832,8339.783279,
2048,23362.52231,14727.03152,8635.49079,
2049,24026.81986,15136.66721,8890.152648,
2050,24662.61644,15532.80909,9129.807357,
2051,24996.3719,15626.07095,9370.300955,
2052,25341.51393,15826.00549,9515.50844,
2053,25646.58663,16044.36014,9602.226485,
2054,25985.86452,16265.0592,9720.80532,
2055,26324.20966,16532.12018,9792.089479,
2056,26502.56465,16838.61526,9663.949397,
2057,26642.41008,17198.09525,9444.314824,
2058,26772.00104,17580.05061,9191.950428,
2059,26848.80316,17974.35929,8874.443867,
2060,26869.80364,18393.01117,8476.792467,
2061,26823.93474,18815.99118,8007.943559,
2062,26769.64416,19261.04467,7508.5995,
2063,26707.50771,19727.49591,6980.011799,
2064,26612.10133,20219.65611,6392.445225,
2065,26532.48381,20704.24749,5828.236322,
2066,26454.8638,21214.57042,5240.29338,
2067,26390.10925,21720.0979,4670.011343,
2068,26335.42391,22218.86816,4116.555751,
2069,26320.0894,22715.32445,3604.764954,
2070,26324.03903,23208.47051,3115.568523,
2071,26335.55473,23744.38978,2591.164957,
2072,26389.63425,24230.40837,2159.225882,
2073,26468.6755,24683.71603,1784.959473,
2074,26571.44286,25105.16187,1466.280997,
2075,26637.59709,25495.40437,1142.19272,
2076,26779.24608,25858.48294,920.7631463,
2077,26966.49113,26206.24656,760.2445769,
2078,27204.62712,26541.58103,663.0460912,
2079,27487.1222,26870.1884,616.9338026,
2080,27816.67834,27197.9709,618.7074418,
2081,28195.71846,27533.63665,662.0818093,
2082,28613.47907,27908.89807,704.5810089,
2083,29062.90286,28322.83649,740.0663684,
2084,29555.35906,28778.43218,776.9268823,
2085,30073.90027,29277.07697,796.8232935,
2086,30579.26978,29816.8956,762.3741771,
2087,31066.71709,30397.06214,669.6549472,
2088,31533.30968,31015.59325,517.716433,
2089,31988.24963,31670.12882,318.1208179,
2090,32425.89269,32358.01244,67.8802459,
2091,32851.84969,33075.80527,-223.9555768,
2092,33288.38954,33820.77065,-532.3811044,
2093,33718.89766,34590.54377,-871.6461042,
2094,34142.28533,35380.18476,-1237.899436,
2095,34568.14883,36186.16156,-1618.012734,
2096,34996.08569,37002.27381,-2006.18812,
2097,35426.59263,37821.92534,-2395.332707,
2098,35855.33879,38640.96222,-2785.623429,
2099,36281.27549,39455.06278,-3173.787292,
2100,36711.27032,40261.84172,-3550.571405,
2101,37145.37,41057.9999,-3912.629901,
2102,37589.28876,41841.72425,-4252.435484,
2103,38046.46591,42613.27269,-4566.806782,
2104,38519.08421,43375.21274,-4856.128527,
2105,39005.55345,44131.37611,-5125.822661,
2106,39513.50526,44887.27382,-5373.768561,
2107,40043.86142,45649.37265,-5605.511229,
2108,40596.27165,46423.73406,-5827.462407,
2109,41171.68948,47217.19979,-6045.510306,
2110,41768.27823,48036.11943,-6267.841206,
2111,42390.05272,48886.63235,-6496.579628,
2112,43019.91711,49774.33049,-6754.413375,
2113,43658.94501,50702.74867,-7043.803665,
2114,44305.08134,51675.03753,-7369.956184,
2115,63932.28862,69465.07755,-5532.788929,
2116,64902.19211,70827.39219,-5925.200076,
2117,65874.62432,72249.26256,-6374.638239,
2118,66847.76433,73731.16843,-6883.404097,
