Year,TFPGrowthRatePct,Raw_PennWorldTable9_TFPgrowthPct,Raw_WuXiaoyan_TFPgrowthPct,TFP_Multiplier,TFP
1945,2.588564778,,,1.025885648,1
1946,2.633553446,,,1.026335534,1.025885648
1947,3.148483954,,,1.03148484,1.052902895
1948,2.441694773,,,1.024416948,1.086053373
1949,2.156956658,,,1.021569567,1.112571482
1950,2.562135061,,,1.025621351,1.136569166
1951,2.858496785,,,1.028584968,1.165689603
1952,5.723136494,5.723136494,,1.057231365,1.199010803
1953,-1.092251135,-1.092251135,,0.989077489,1.267631828
1954,0.733266084,0.733266084,,1.007332661,1.253786105
1955,4.588027074,4.588027074,,1.045880271,1.262979693
1956,4.340305409,4.340305409,,1.043403054,1.320925544
1957,3.820903361,3.820903361,,1.038209034,1.378257747
1958,-6.263532349,-6.263532349,,0.937364677,1.430919643
1959,-7.1541276,-7.1541276,,0.928458724,1.341293528
1960,-30.59534147,-30.59534147,,0.694046585,1.245335678
1961,6.518403257,6.518403257,,1.065184033,0.864320975
1962,9.344914897,9.344914897,,1.093449149,0.920660901
1963,8.825412987,8.825412987,,1.08825413,1.006695879
1964,2.80141344,2.80141344,,1.028014134,1.095540948
1965,1.12878205,1.12878205,,1.011287821,1.126231579
1966,-9.126005088,-9.126005088,,0.908739949,1.138944279
1967,-8.041391894,-8.041391894,,0.919586081,1.035004166
1968,6.806783004,6.806783004,,1.06806783,0.951775425
1969,7.71549252,7.71549252,,1.077154925,1.016560713
1970,-1.022953056,-1.022953056,,0.989770469,1.094993379
1971,-3.318034714,-3.318034714,,0.966819653,1.083792111
1972,1.238684446,1.238684446,,1.012386844,1.047831512
1973,-3.144398593,-3.144398593,,0.968556014,1.060810838
1974,1.234170381,1.234170381,,1.012341704,1.027454717
1975,-8.48398963,-8.48398963,,0.915160104,1.040135259
1976,-0.048731443,-0.048731443,,0.999512686,0.951890291
1977,4.784943485,4.784943485,,1.047849435,0.951426421
1978,1.117465068,1.117465068,,1.011174651,0.996951638
1979,-1.795826807,-1.795826807,,0.982041732,1.008092224
1980,0.178302298,0.178302298,,1.001783023,0.989988634
1981,2.884346186,3.418692373,2.35,1.028843462,0.991753806
1982,3.10366141,1.547322819,4.66,1.031036614,1.02035942
1983,8.777744291,5.335488582,12.22,1.087777443,1.052027921
1984,9.66715635,3.614312699,15.72,1.096671563,1.144372242
1985,1.802056137,1.644112273,1.96,1.018020561,1.255000496
1986,2.307246265,2.794492529,1.82,1.023072463,1.277616309
1987,-0.300577033,-1.191154067,0.59,0.99699423,1.307094064
1988,-6.856697401,-4.253394803,-9.46,0.931433026,1.303165239
1989,-2.790583502,-3.031167003,-2.55,0.972094165,1.213811142
1990,6.015125133,1.840250266,10.19,1.060151251,1.179938729
1991,7.398290546,4.976581093,9.82,1.073982905,1.25091352
1992,4.768864068,4.337728136,5.2,1.047688641,1.343459736
1993,4.943410778,2.016821556,7.87,1.049434108,1.407527505
1994,6.717502707,6.965005414,6.47,1.067175027,1.477107371
1995,-1.465271913,-1.400543826,-1.53,0.985347281,1.576332099
1996,2.135525471,1.281050942,2.99,1.021355255,1.553234547
1997,-2.829282473,-5.158564945,-0.5,0.971707175,1.586404267
1998,-0.18741657,0.475166861,-0.85,0.998125834,1.541520409
1999,-1.405274991,1.209450018,-4.02,0.98594725,1.538631344
2000,2.66455114,2.66455114,,1.026645511,1.517009343
2001,6.036123388,6.036123388,,1.060361234,1.557430833
2002,4.292746657,4.292746657,,1.042927467,1.651439279
2003,4.683726326,4.683726326,,1.046837263,1.722331384
2004,3.198433695,3.198433695,,1.031984337,1.803000672
